,TWEET,USER NAME,USER LOCATION
156,"Many deposit options available!
Dm us today!
#1 recreational sportsbook
Make the switch today

#sportbook… https://t.co/HgvwpZDA1b",ABSportsbook,
157,"RT @ESPNPR: ESPN Re-signs #NBA Reporter @mcten with New Multi-Year Deal

🏀 Dave will continue to report on the Los Angeles Lakers across mu…",louispisani2016,
158,Y’all in trouble now. #kingjames #lakers #nba #nbachamps2022 https://t.co/3dbVlgW9Sj,DrewBooSauce,"Belmont Shores, CA"
159,"RT @FinSports2: #NBATwitter - @painsworth512 is joined by @TaylorLPate of @ApolloHOU to discuss all of the #NBA drama on Ben Simmons, John…",bigdouglasshow,
160,"RT @21WIRE: Another brave #NBA player @RealDealBeal23 here, schooling the clueless and divisive media on the facts regarding the experiment…",BetoForti,
161,"RT @BetYourBallsVIP: Telegram admin sent this yesterday in our Bet Your Balls Official group... 😂

July babies be like 😐😐😐😐 

Join our Tele…",channieb4ng,
162,"RT @21WIRE: Another brave #NBA player @RealDealBeal23 here, schooling the clueless and divisive media on the facts regarding the experiment…",pambeertom,
163,"No play, no pay. As simple as that, will the money talk for most players in getting the vaccine? Only time will tel… https://t.co/GFNpNmRu4V",courtsideheat,"Mesa, AZ"
164,@ShamsCharania NBA Players trying to get vaccinated #NBA https://t.co/g4YFTmMSC8,trumpyvideos,
165,"RT @FantasySupreme_: 🚨Giveaway Time!

I have been stuck on 7,000 followers for like three years and with my success I should have at least…",irving_ryan,Wilmington 
166,"RT @ESPNPR: ESPN Re-signs #NBA Reporter @mcten with New Multi-Year Deal

🏀 Dave will continue to report on the Los Angeles Lakers across mu…",Minski_G,"Los Angeles, CA"
167,RT @TheCryptoNewz: 🏈🏉 @dapperlabs and the @NFL have partnered to bring @nbatopshot style #NFTs to market #Crypto #NFL #NFTs #NBA #TopShot #…,purveyors_the,
168,"who y’all got winning rookie of the year?

#NBA  #NBATwitter https://t.co/G1SLPRqAVk",thaleaguereport,
169,@dpshow soooooooooo … we should hold off on the #LAARP hashtag ? #NBAMediaDay #NBA @NBA @NBATV @ESPNNBA @NBAonTNT,cincygreghoodin,Cincinnati Ohio
