,TWEET,USER NAME,USER LOCATION
128,"Waking up to reality of ....

#Brooklyn #Nets #BrooklynTogether #NetsWorld #KevinDurant #Kyrie #sport #sports… https://t.co/2x0BcXcj80",anyidea,"Los Angeles, CA"
129,"RT @foolsmate_web: FOOL'S MATE chyannelアーカイヴとして、
NoGoDのインタヴュー(60分超え!!)がYouTubeで公開されました!!　視聴はコチラ↓
https://t.co/t4xldGKJLs
チャンネル登録をお願いします!!
#…",Sx2Ykd,
130,"These are crispy clean 🥶🥶🥶
A Fresh #Nike Kyrie 4 Low 
Add these to your rotation 👟
https://t.co/neg76hadyg

#Nike… https://t.co/n1y4oK2RSg",Shiekh,Los Angeles
131,#based #kyrie https://t.co/RDteAxGzv7,roxymeadows47,"Heartland, USA"
132,"RT @foolsmate_web: FOOL'S MATE chyannelアーカイヴとして、
NoGoDのインタヴュー(60分超え!!)がYouTubeで公開されました!!　視聴はコチラ↓
https://t.co/t4xldGKJLs
チャンネル登録をお願いします!!
#…",al39412,北の大地
133,Social media is really obsessed with Kyrie’s personal life and decisions damn chill out #Kyrie,miszmaria90,"Queens, NY"
134,"🔴 LIVE PODCAST: NFL week3, WNBA playoffs , Ben Simmons, Kyrie Irving and Andrew Wiggins on @Spreaker #bensimmons… https://t.co/UVZoscstSz",MarshMediaBN,
135,"RT @foolsmate_web: FOOL'S MATE chyannelアーカイヴとして、
NoGoDのインタヴュー(60分超え!!)がYouTubeで公開されました!!　視聴はコチラ↓
https://t.co/t4xldGKJLs
チャンネル登録をお願いします!!
#…",clubzoozoozoo,片田舎
136,"RT @foolsmate_web: FOOL'S MATE chyannelアーカイヴとして、
NoGoDのインタヴュー(60分超え!!)がYouTubeで公開されました!!　視聴はコチラ↓
https://t.co/t4xldGKJLs
チャンネル登録をお願いします!!
#…",ex_koshou,関内
137,"RT @foolsmate_web: FOOL'S MATE chyannelアーカイヴとして、
NoGoDのインタヴュー(60分超え!!)がYouTubeで公開されました!!　視聴はコチラ↓
https://t.co/t4xldGKJLs
チャンネル登録をお願いします!!
#…",dghabchan,
138,"RT @foolsmate_web: FOOL'S MATE chyannelアーカイヴとして、
NoGoDのインタヴュー(60分超え!!)がYouTubeで公開されました!!　視聴はコチラ↓
https://t.co/t4xldGKJLs
チャンネル登録をお願いします!!
#…",riku041719,ほぼ東京
139,"Excitedly purchased a couple of pairs of #Kyrie #nike , then discovered the whole anti vaccine stance. We’ll always… https://t.co/0xUBuUSuFT",mahonolith,Detroit!
140,"RT @foolsmate_web: FOOL'S MATE chyannelアーカイヴとして、
NoGoDのインタヴュー(60分超え!!)がYouTubeで公開されました!!　視聴はコチラ↓
https://t.co/t4xldGKJLs
チャンネル登録をお願いします!!
#…",geena0904,どこかの箱にいます(ほぼ下手にいます)
141,"RT @foolsmate_web: FOOL'S MATE chyannelアーカイヴとして、
NoGoDのインタヴュー(60分超え!!)がYouTubeで公開されました!!　視聴はコチラ↓
https://t.co/t4xldGKJLs
チャンネル登録をお願いします!!
#…",BiSAKMNGDpmd,埼玉
142,"RT @foolsmate_web: FOOL'S MATE chyannelアーカイヴとして、
NoGoDのインタヴュー(60分超え!!)がYouTubeで公開されました!!　視聴はコチラ↓
https://t.co/t4xldGKJLs
チャンネル登録をお願いします!!
#…",pj88888,
143,I'm laughing at some folk who are surprised about Kyrie Irving's current situation. Remember that this is the same… https://t.co/bnwCtex5V7,tysen813,"Fort Worth, TX"
144,"There’s so many ring chasers in basketball nowadays it isn’t even funny etc. Kyrie,KD,Russ #nba #NBA #espn #ESPN… https://t.co/JlsgAjnbno",_GVNNN,Antarctica
145,"Totally disagree. To get #KevinDurant, you do whatever you have to do. If anything, Durant will get #Kyrie to come… https://t.co/VLwWbJ8jtp",GregLogan1,"Long Island, N.Y."
146,The third edition of #HobnobAccra  was 🔥.A culturally diverse and business minded audience !We look forward to part… https://t.co/gDoKWrxiWN,EAgencyofficial,Osu
147,"RT @Podcasts_SI: 🧐 Something tells me #Kyrie will be up for discussion on today’s @TheCrossover #NBA #podcast.

↘️ First, read @SIChrisMann…",TheCrossover,New York City
148,"RT @Podcasts_SI: 🧐 Something tells me #Kyrie will be up for discussion on today’s @TheCrossover #NBA #podcast.

↘️ First, read @SIChrisMann…",SIChrisMannix,"Boston, MA"
